"idestado","nombretema","area","tipoestado"
47,"Procesamiento de imágenes a partir de muestras de imágenes provistas de una cámara en tiempo real utilizando visión artificial""","MACHINE LEARNING","A"
48,"Análisis y aplicación de la programación orientada a agentes e interacción de multiagentes con plataforma jade","SOFTWARE","A"
49,"Telemetría como servicio (TEaaS) basada en el protocolo ZigBee y Fog Computing para monitoreo de la calidad del aire","REDES","A"
50,"Análisis  diseño y construcción de un almacén de datos de colocaciones de crédito y captaciones de los bancos privados para aplicar algoritmos de minería de datos","BASE DE DATOS","A"
51,"Diseño y desarrollo de una infraestructura de modelado de objetos en arquitectura de 3 capas bajo plataforma NET. 2.0 para el desarrollo de software","SOFTWARE","A"
52,"Programación diseño e implementación de un sistema web orientado a la labor social en Mi Caleta","SOFTWARE","A"
53,"Estudio de centralización y sincronización del sistema de semaforización del corredor sur-oriental del Distrito Metropolitano de Quito","MACHINE LEARNING","A"
54,"Sistema experto para la selección de personal con aplicación de una compañía consultora de transporte","MACHINE LEARNING","A"
55,"Sistema experto difuso para test psicológicos para la admisión de estudiantes de la sección secundaria de la Unidad Educativa Las Américas del Valle","MACHINE LEARNING","A"
56,"Desarrollo de un sistema que determine el estado del tráfico en la Av. Enríquez y Venezuela de la ciudad de Sangolquí usando algoritmos de visión artificial y que presente la información a los conductores a través de un tablero electrónico para que elijan vías alternas en caso de congestión""","MACHINE LEARNING","A"
57,"Análisis diseño e implementación de un sitema informático para gestionar los trabajos de Help Desk del área de tecnología de la Cooperativa Codesarrollo basado en Itil y Silverlight","SOFTWARE","A"
58,"Desarrollo de Software HMI SCADA e implementación sobre un módulo didáctico autónomo para ventas de la empresa Ecuainsetec Cía. Ltda.","SOFTWARE","A"
59,"Análisis diseño y desarrollo de un software para el manejo de gastos del menú y control de ingreso al comedor por medio de una tarjeta identificadora con código de barras en la Brigada de Apoyo Logístico No. 25 Reino de Quito","SOFTWARE","A"
60,"Sistema informático para el manejo y control de información de activos fijos en el Colegio Particular Prado mediante la utilización de tecnología móvil.","SOFTWARE","A"
61,"Estudio análisis y diseño de la calidad de servicio QoS en la red de datos del Hospital General de las Fuerzas Armadas No. 1 de Quito para el mejoramiento del servicio a los usuarios de la red","REDES","A"
62,"Estudio y diseño para la implementación de una intranet en el Colegio Nacional ""Emilio Uzcátegui""","REDES","A"
63,"Diseño e implementación de una red inalámbrica móvil para comunicación mediante videoconferencia entre dos automóviles","REDES","A"
64,"Análisis diseño desarrollo e integración del módulo de administración para el sistema UPS schedule para la Universidad Politécnica Salesiana Sede Quito","BASE DE DATOS","A"
65,"Auditoría a la administración de la red de datos wan denominada soporte y monitoreo de la plataforma de clientes implementada por Telecomunicaciones Fulldata Cía. Ltda. basada en el marco de trabajo Cobit 4.1","BASE DE DATOS","A"
66,"Análisis diseño desarrollo e implementación de un Software prototipo en ambiente web para la administración de datos de clientes y Teleadministración de equipos Broadband Over Power Line-BPL instalados en la red del proyecto Electronet","BASE DE DATOS","A"
67,"Creación de una solución informática que permita la visualización de datos relacionado con el exceso de velocidad del transporte interprovincial en la ruta Quito-Riobamba utilizando geolocalización en una aplicación móvil para generar datos abiertos.""","BASE DE DATOS","A"
68,"Desarrollo de un aplicativo para recolección de datos para diagnóstico automático de desórdenes mentales (siguiendo la clasificación CIE-10).""","BASE DE DATOS","A"
69,"Estudio análisis y diseño de la red de datos del Instituto Tecnológico Superior Polícia Nacional","REDES","A"
70,"Rediseño del sistema de red y cableado estructurado de las direcciones y oficinas del Municipio del Cantón Mejía","REDES","A"
71,"Sistema experto orientado a medicina pediátrica mediante lógica difusa","MACHINE LEARNING","A"
72,"Myexpert: sistema experto neuronal de medicina integral para el diagnóstico y tratamiento de las principales enfermedades gástricas inflamatorias""","MACHINE LEARNING","A"
73,"Implementación y mantenimiento de portales empresariales integrados usando Oracle 10g Application Server Portal","BASE DE DATOS","A"
74,"Evaluación del Desempeño de los Servidores FTP y Base de Datos de la Empresa LA INTERNACIONAL S. A.","BASE DE DATOS","A"
75,"Desarrollo de un sistema web bajo plataforma Oracle para la administración del servicio de catering","BASE DE DATOS","A"
76,"Diseño y construcción de una fresadora de 3 ejes y su software de control para el fresado de figuras geométricas formadas por líneas rectas en superficies de madera.","SOFTWARE","A"
77,"Análisis diseño e implementación de un software para la administración de la información de los clientes y el control de las actividades del personal operativo en el callcenter Multicobro S.A. Quito""","SOFTWARE","A"
78,"Desarrollo de Software HMI SCADA e implementación sobre un módulo didáctico autónomo para ventas de la empresa Ecuainsetec Cía. Ltda.","SOFTWARE","A"
79,"Estudio y diseño para implementación red de datos compañía de publicidad Norlop""","REDES","A"
80,"Análisis y diseño de la red de borde empresarial del ""Centro de transferencia y desarrollo tecnológico"" de la Escuela Politécnica del Ejército (CTT ESPE CECAI) utilizando metodología Top-down de Cisco para interconectar las sedes de Cuenca Portoviejo y Quito.","REDES","A"
81,"Estudio de factibilidad análisis y diseño de una red de área personal (PAN) que utiliza la tecnología de ultra banda ancha (UWB) como medio de comunicación en un entorno SOHO networking""","REDES","A"
82,"Estudio de la provisión de comunicaciones en banda ancha y la alternativa de solución a través de sistemas inalámbricos a un alcance corto mediano y largo (UWB WIFI UMTS)","REDES","A"
83,"Diseño de un ISP proveedor de servicios de internet","REDES","A"
84,"Desarrollo de un software de simulación para REDESde fibra óptica Wavelegth routing (enrutamiento por longitud de onda)","REDES","A"
85,"Migración de datos en foxbase a una plataforma de bases de datos relacionales","BASE DE DATOS","A"
86,"Modelos basados en inteligencia artificial para el diseño de estructuras no convencionales de hormigón armado","MACHINE LEARNING","A"
87,"Desarrollo de un algoritmo híbrido para recomendaciones de itinerarios turísticos de acuerdo con las preferencias de los usuarios","MACHINE LEARNING","A"
88,"Desarrollo e implementación de un modelo de gestión de TI para los laboratorios de la ESFOT","SOFTWARE","A"
89,"Evaluación de la calidad externa y de la calidad en uso de los módulos almacén y planificación del sistema RPS de la Empresa Química Ariston Ecuador C. Ltda","SOFTWARE","A"
90,"Uso del modelo de costo total de propiedad (TCO) para comparar frameworks","SOFTWARE","A"
91,"Desarrollo de un prototipo de sitio web como interfaz de acceso a objetos de aprendizaje de un software libre de edición de textos accesible para personas con discapacidad visual severa.","SOFTWARE","A"
92,"Aplicación de Scrum para crear Sistema de Estandarización de Planes de Trabajo en sistema web 2.0 para el CNE a través de la reutilización de Software utilizando herramientas de Software libre","SOFTWARE","A"
93,"Propuesta de un método para la implementación de sistemas software","SOFTWARE","A"
94,"Diseño de un plan de seguridad para la red de datos de la empresa ECUASANITAS S.A.","REDES","A"
95,"Implantación de un sistema de videoconferencia multipunto a través de internet aplicando tecnología streaming","REDES","A"
96,"Desarrollo de un sistema experto para la coloración de los resultados de una evaluación del desempeño de los servidores de una LAN""","MACHINE LEARNING","A"
97,"Desarrollo de un método para la clasificación automatizada de imágenes Landsat 8 mediante REDESNeuronales Artificiales","MACHINE LEARNING","A"
98,"Predicción de la demanda eléctrica utilizando un modelo de aprendizaje","MACHINE LEARNING","A"
99,"Sistema de compra y venta de libros utilizando tecnología smart cliente para empresas distribuidoras de libros","BASE DE DATOS","A"
100,"Desarrollo de un método para la clasificación automatizada de imágenes Landsat 8 mediante REDESNeuronales Artificiales","MACHINE LEARNING","A"
101,"Modelo de reconocimiento en tiempo real de gestos de la mano utilizando técnicas de deep learning y señales electromiográficas","MACHINE LEARNING","A"
102,"Desarrollo de un sistema vía web para procesos de aprendizaje constructivista orientado a la educación secundaria a distancia en el área de Informática Básica","SOFTWARE","A"
103,"Desarrollo e implementación de un sistema de control de acceso basado en criptomemorias para el ldicc","SOFTWARE","A"
104,"Desarrollar el módulo de operaciones y el módulo de recursos humanos para la empresa VICOSA CIA. LTDA sobre Open ERP","SOFTWARE","A"
